run_datetime,num_competing_flows,latency_mean_ns,latency_median_ns,latency_max_ns,latency_min_ns,latency_max_minus_min_ns,latency_sd_ns,interval_mean_ns,interval_median_ns,interval_max_ns,interval_min_ns,interval_max_minus_min_ns,interval_sd_ns,cpu_ats_order,cpu_iperf,num_frame_mainflow,rate_ats_base_bps,rate_ats_increment_bps,rate_iperf_bps,with_sp,use_sleep_mode,use_preempt_rt,pdm,etf_delta_ns,use_offload,use_ts2phc,isolcpus_list,script_version,tx_command,rx_command,pcap_file
"2026-04-01 19:21:00",0,1208.30433,433.0,14293,417,13876,2563.6061049492864,123039.9998799988,123041,136898,109177,27721,3787.474750574545,"0,2,4,6,8,10,12,14",16,100000,100000000,1000000,95.71M,true,false,false,"300000",250000,true,true,"0-20","1.0.0","../../secV-D2.scalability.tx.sh -t -c ../../configs/netns.conf -1 0,2,4,6,8,10,12,14 -n 100000 -b 100000000 -i 1000000 -D 250000 -m 300000 -s -3 16 -r 95.71M","../../secV-D2.scalability.rx_stats.sh -c ../../configs/netns.conf","result_secV-D2.withSP.num_competeflow0.run1.pcap"
"2026-04-01 19:21:35",1,1944.92005,436.0,26210,422,25788,3510.8063725785273,123040.0109601096,123041,148802,107985,40817,4279.662277769604,"0,2,4,6,8,10,12,14",16,100000,100000000,1000000,95.71M,true,false,false,"300000",250000,true,true,"0-20","1.0.0","../../secV-D2.scalability.tx.sh -t -c ../../configs/netns.conf -1 0,2,4,6,8,10,12,14 -n 100000 -b 100000000 -i 1000000 -D 250000 -m 300000 -s -3 16 -r 95.71M","../../secV-D2.scalability.rx_stats.sh -c ../../configs/netns.conf","result_secV-D2.withSP.num_competeflow1.run1.pcap"
"2026-04-01 19:22:07",2,2927.84533,436.0,37445,419,37026,4524.139081443805,123040.19663196632,123041,160065,106785,53280,4954.451003403016,"0,2,4,6,8,10,12,14",16,100000,100000000,1000000,95.71M,true,false,false,"300000",250000,true,true,"0-20","1.0.0","../../secV-D2.scalability.tx.sh -t -c ../../configs/netns.conf -1 0,2,4,6,8,10,12,14 -n 100000 -b 100000000 -i 1000000 -D 250000 -m 300000 -s -3 16 -r 95.71M","../../secV-D2.scalability.rx_stats.sh -c ../../configs/netns.conf","result_secV-D2.withSP.num_competeflow2.run1.pcap"
"2026-04-01 19:22:41",3,3996.38746,446.0,43600,418,43182,5404.013356570721,123040.000100001,123041,159489,105617,53872,5335.4645687140755,"0,2,4,6,8,10,12,14",16,100000,100000000,1000000,95.71M,true,false,false,"300000",250000,true,true,"0-20","1.0.0","../../secV-D2.scalability.tx.sh -t -c ../../configs/netns.conf -1 0,2,4,6,8,10,12,14 -n 100000 -b 100000000 -i 1000000 -D 250000 -m 300000 -s -3 16 -r 95.71M","../../secV-D2.scalability.rx_stats.sh -c ../../configs/netns.conf","result_secV-D2.withSP.num_competeflow3.run1.pcap"
"2026-04-01 19:23:16",4,5296.92463,1519.0,55485,421,55064,6389.242060278305,123040.11944119442,123033,159954,104513,55441,5843.979143225827,"0,2,4,6,8,10,12,14",16,100000,100000000,1000000,95.71M,true,false,false,"300000",250000,true,true,"0-20","1.0.0","../../secV-D2.scalability.tx.sh -t -c ../../configs/netns.conf -1 0,2,4,6,8,10,12,14 -n 100000 -b 100000000 -i 1000000 -D 250000 -m 300000 -s -3 16 -r 95.71M","../../secV-D2.scalability.rx_stats.sh -c ../../configs/netns.conf","result_secV-D2.withSP.num_competeflow4.run1.pcap"
"2026-04-01 19:23:47",5,7303.44912,5243.5,64844,418,64426,7738.105165184254,123040.36906369064,123033,171033,103353,67680,6520.689860940988,"0,2,4,6,8,10,12,14",16,100000,100000000,1000000,95.71M,true,false,false,"300000",250000,true,true,"0-20","1.0.0","../../secV-D2.scalability.tx.sh -t -c ../../configs/netns.conf -1 0,2,4,6,8,10,12,14 -n 100000 -b 100000000 -i 1000000 -D 250000 -m 300000 -s -3 16 -r 95.71M","../../secV-D2.scalability.rx_stats.sh -c ../../configs/netns.conf","result_secV-D2.withSP.num_competeflow5.run1.pcap"
"2026-04-01 19:24:19",6,9821.14128,8609.0,61522,422,61100,9012.059212629485,123040.27928279284,123033,172258,102273,69985,7242.087606923851,"0,2,4,6,8,10,12,14",16,100000,100000000,1000000,95.71M,true,false,false,"300000",250000,true,true,"0-20","1.0.0","../../secV-D2.scalability.tx.sh -t -c ../../configs/netns.conf -1 0,2,4,6,8,10,12,14 -n 100000 -b 100000000 -i 1000000 -D 250000 -m 300000 -s -3 16 -r 95.71M","../../secV-D2.scalability.rx_stats.sh -c ../../configs/netns.conf","result_secV-D2.withSP.num_competeflow6.run1.pcap"
"2026-04-01 19:24:49",7,14151.67014,12727.0,74255,419,73836,10543.500502391622,123040.14049140492,123041,196866,101169,95697,8300.788845567724,"0,2,4,6,8,10,12,14",16,100000,100000000,1000000,95.71M,true,false,false,"300000",250000,true,true,"0-20","1.0.0","../../secV-D2.scalability.tx.sh -t -c ../../configs/netns.conf -1 0,2,4,6,8,10,12,14 -n 100000 -b 100000000 -i 1000000 -D 250000 -m 300000 -s -3 16 -r 95.71M","../../secV-D2.scalability.rx_stats.sh -c ../../configs/netns.conf","result_secV-D2.withSP.num_competeflow7.run1.pcap"
