run_datetime,cbs_multiplier,interval_mean_ns,interval_median_ns,interval_max_ns,interval_min_ns,interval_max_minus_min_ns,interval_sd_ns,cpu_ats,num_frame_mainflow,use_ts2phc,use_netns,isolcpus_list,script_version,tx_command,rx_command,pcap_file
"2026-04-01 17:54:01",8,114340.36363636363,123041,123058,12304,110754,29581.583013434305,4,100,true,true,"0-20","1.0.0","../../secV-B.cbs_shaping.tx.sh -N -t -c ../../configs/netns.conf","../../secV-B.cbs_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-B.netns.cbs8x.num100.1.pcap"
"2026-04-01 17:54:06",16,104397.56565656565,123041,123057,12304,110753,41308.13256198349,4,100,true,true,"0-20","1.0.0","../../secV-B.cbs_shaping.tx.sh -N -t -c ../../configs/netns.conf","../../secV-B.cbs_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-B.netns.cbs16x.num100.1.pcap"
"2026-04-01 17:54:11",32,84512.37373737374,123041,123057,12304,110753,52714.57415650583,4,100,true,true,"0-20","1.0.0","../../secV-B.cbs_shaping.tx.sh -N -t -c ../../configs/netns.conf","../../secV-B.cbs_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-B.netns.cbs32x.num100.1.pcap"
